documento_anon,cargo,funcion,edad,antiguedad,salario_total
00af0281a6edc36266cd745fd03926060903199191274ff9dc2a622154f5034a,DOCENTE INVESTIGADOR II,INVESTIGADOR ADSCRIPTO COORDINACIÓN DE POSTGRADO E INVESTIGACIÓN DEPARTAMENTO DE INGENIERIA MECÁNICA Y ELECTROMECÁNICA,44.0,14,13660862
00aff6acc75208cc09b268317207a4e6fa9f23dfdbd229a905f18b79bd3a791e,PROFESOR,ENCARGADO DE CATEDRA DE CÁTEDRA,45.0,2026,985944
00b23676399803b9977acf72d959f6b7873e6ee3499c2bffc2ff0fb42f4294b1,DOCENTE ENCARGADO DE CATEDRA,,72.0,2026,2511958
00b3839b6ab6f606e4ab5e5dafdaa1c76035ad0060c2a0822b7dea9449b335cc,PROFESOR ASISTENTE,PROFESOR ASISTENTE,53.0,24,2864272
00b79f586cf70df420786190ae9170ce86e5332c8696f87de265f7493560f507,AUXILIAR DE SERV GRALES,AUXILIAR DE SERV GRALES,32.0,4,2798309
00bb956df068ab4ec7d88eee732fab0c499fb28f1ad4f40281d4ef2c412b123b,TECNICO III,PINTOR,59.0,14,3608309
00bd2a8ccf575d709b809251b8a8fbda13d71fabc1534baca2738909d668fc44,ENFERMERO/A ASIST - NIVEL II,ENFERMERO/A ASISTENCIAL,48.0,17,6601000
00bef7022ab5f48df2f5d77e3073c8fe005dc18f7a2d293c744f72a5b1f0a589,DOCENTE TECNICO II,ORIENTADORA DEL BACHILLERATO 2 CURSO,43.0,19,9078909
00c1de2e9ed0c8d4d2d484a774abeea9d935d8b8f66710ed64c9f606a4ba93ee,PROFESOR,PROFESOR CPA,25.0,1,1549600
00c48781358e05f8feec2aa907b83ccf30cd3bab0b706895e735565036f94caf,DOCENTE MÉDICO II,INSTRUCTOR,47.0,23,6175500
00c7efd34c7591add3cbbf869b17f6019a5e53f0bec8a37d6993eb7f75411206,PERSONAL DE SERVICIO I,COCINERO/A,37.0,19,4659040
00cb556000a78ee7655a5ca55d2abb8b45500152f00c03532725347532a26234,PERSONAL DE SERVICIO ESPECIFIC,CARPINTERO,36.0,17,4660000
00ccaa9fcf9abe8cc9f740f56e965d0453d02182850c297a4c5bca47fe0a9941,TECNICO I,TECNICO I,54.0,33,6198039
00d0c06738d46b3ad71ea200d56ec4d7189d029e7ca2c12fdb52af139390d63e,TECNICO I,AUXILIAR ADMINISTRATIVO,43.0,19,6886925
00d3e4dd23d023055f0cf7b6b33adeb3dadd93f9e47aae8f144cfdb75759f3e1,PERSONAL DE SERVICIO,GUARDIA DE SEGURIDAD,55.0,13,4385000
00d58c5ff95a3d3b1b76006b1e28b139f129b6d9d4ae38d4d69c6eb5e7fa68a4,PROFESIONAL I,,,2026,0
00d60a8a18edb3dbaefc8ad9fd471a64be1a86f48e679df5f84fc543d1ec676b,ASISTENTE DE ENFERMERIA,ASISTENTE DE ENFERMERIA,46.0,25,4635000
00dc01d7b02967e79f6df48abdd074943eb4f5eede515af5d51aecce2b7200e4,DOCENTE ENCARGADO DE CATEDRA,DOCENTE ENCARGADO DE CATEDRA,46.0,2026,9535173
00def8d4f6c1665174ce89ab17e506bf03a1105a6c6e8371d5ed18e0db5be3aa,PROFESIONAL I,,69.0,2026,7144920
00df37997f0a27bc38e62c6b1fa40099d1ce0be557d430713426eecbbfba2c5b,DOCENTE TECNICO III,,,2026,0
00e3fa5475fbb7717c420dc4f71884f3a391188d2f3be6b4ed3d428846773cee,PROFESOR ADJUNTO,PROFESOR ADJUNTO,79.0,42,18656395
00eaa5c320ea1cf9ba914f29d49ed8fc5980befa1ef6de3bbe75c361700b58f2,DOCENTE TECNICO I,COORDINADOR/A,69.0,37,7526420
00ee8aba34e728a0e669a47e427ec6a5adb3959eacf12e1bef5de9e03ed76ffe,PROFESOR,PROFESOR,55.0,2026,0
00f505c851321f4e55f58cef87729519205906fe942bd331ea9f0dbc168164f5,TECNICO I,AUXILIAR ADMINISTRATIVO,38.0,16,5936925
00f727fb37d32b3d0749d0053fc5706fedbcdff4f28cd892d50818bd28adab11,DOCENTE ENCARGADO DE CATEDRA,,41.0,2026,1255979
00face32bec39e5b096b2a3124f3e253f2a61b667e58378464bc11a0cf4b3d37,PROFESOR,PROFESOR,35.0,1,1971886
010305115c6ad31857f972715a2b3b4f3267f4b23ebb3120dd865d42786e648e,AUXILIAR DE LA ENSEÑANZA II,AUXILIAR DE LA ENSEÑANZA II,34.0,15,985943
01066067410c4edda3a6206c760c28e4e35586b42d32d02f5d0b19604ee14d92,AUXILIAR DE ENSEÑANZA III,,29.0,2026,863435
0106a4144840298e16c5b0d1cb747fa006d6f4670b4cd67dac9f43c64db6702b,DOCENTE MÉDICO II,MEDICO ESPECIALISTA,45.0,18,6506500
010d0c9e639511463b31b9280f006ce2c9ca51fb7fba80a56a484fffc66124e5,AUXILIAR DE ENSEÑANZA III,ADSCRIPTA DE ORTODONCIA II CURSO DEL QUINTO AÑO,44.0,13,677796
0111a3f28b5ae5721749dfc89a642017d933acb66bbb3f522ae3d373e7aa55bc,TECNICO I,AUXILIAR ADMINISTRATIVO,54.0,32,6271425
0116d183d582887b2bec0bdf04ccaab69d84bb3392961e68bbb5077b9e765d70,PROFESOR ADJUNTO,PROFESOR ADJUNTO,,1,0
0118711a8702a610c14c40bc8d6c0fae90c37dae7e16c27bb60c52ea8c64c76f,DOCENTE ENCARGADO DE CATEDRA,,31.0,2026,2119414
0118de398fd865c68187db43821d827609c9ba12f699bbc638d0835ecfa33ce5,DOCENTE MÉDICO II,MEDICO ESPECIALISTA,31.0,6,13710000
011cf5154c917ff3d21a90fcbf6f6aac114ee185ed9768d1f8b8c012764fca47,PERSONAL DE SERVICIOS I,PERSONAL DE SERVICIOS I,40.0,15,4551660
0121bb6fdf8bce629808f0eb899b8b9d7d2c708d1ba2aeb7168a8a14fd52bb20,AUXILIAR ADMINISTRATIVO III,AUXILIAR ADMINISTRATIVO,34.0,14,3773809
0126fe000f252cba5351e9deeee6fb3ed8712f1ba23630f1e8babe7afe1f2c86,AUXILIAR ADMINISTRATIVO,AUXILIAR ADMINISTRATIVO,30.0,1,2798309
012a2bbd3950ef2a0f191aeaaf67241307277fa0cd0447b48c87c4c16094f754,PROFESOR,ASISTENTE,60.0,2026,1569450
01309ca5d89297c23c3ca4ea5f44be91200c70374d862471d397eff12b85cbe1,PROFESOR,PROFESOR,56.0,1,3493761
0133e436a9406e60717a17b9a053d9758b835bb2f8ce57070e44c8f1946fab8c,AUXILIAR DE ENSEÑANZA III,AUXILIAR ENSEÑANZA,35.0,14,677796
01341663b0ee2e4d087265e4032a8a8068a38e5f69e96c072c3c24232a3001bc,DOCENTE MÉDICO II,MEDICO AGREGADO,40.0,2,6010000
013857581e961573960cb007780d58168cdd67fc75c5b639a7c1be2129bb10b6,PROFESOR,ENCARGADO DE CATEDRA DE CÁTEDRA,73.0,2026,10383509
01396ae539b724905df5dddc32e8ea60653bcc98c9aaa093c5e0213ab90e5de1,PROFESOR,ENCARGADO DE CATEDRA DE CÁTEDRA,50.0,2026,985944
013a86645cc0139052b8bf0d8ddc795086e7dc616108d5977fd5c341eff291f8,PROFESIONAL II,JEFE/A DE DPTO.,35.0,14,7528113
013c07e0a53a48642aceac77dfe150281528392cdcdcb8bc414db041305af8bf,PROFESIONAL I,AUXILIAR ADMINISTRATIVO,59.0,35,7160000
013cb8225aa9ef973b67d2904a94750a02c5a0179d4866d59e7a648a5cdfd019,PERSONAL DE SERVICIOS I,LAVANDERO/A,48.0,19,5567500
013cf5a9f9dd86f37d16901b32e1d7cc57bd6ab33feaa4f441530f4760374294,DOCENTE INVESTIGADOR I,DOCENTE INVESTIGADOR I,42.0,11,9617298
01402a341bddd2b3d7a7f9ce415838ae706ea0d68a5191b11443d06558ebd0ec,ENFERMERO/A ASIST - NIVEL II,ENFERMERO AUXILIAR,43.0,16,6270000
014110815849ed06b3f8e9c7f04b5adfe58f453836b4c5b43d06b13aa8dd04f8,AUXILIAR DE ENSEÑANZA III,,36.0,2026,863435
0141c6afea31a2fdc5aa3a184ce038f4903c181a46d008bf6e457e380defe69d,PROFESOR ADJUNTO,PROFESOR,67.0,26,1985972
0145b61722a16371f00551411a726babf66a0641c4f9fa7887975de9cf227597,JEFE DE SECCION,JEFE SECCIÓN BIBLIOTECA DEL DEPARTAMENTO DE APOYO ACADEMICO - DIRECCIÓN ACADEMICA,49.0,30,6388200
0147358398f6699f02687510705d169ca5c95421d21f94e5fff443a316c3cb0c,PROFESIONAL I,,46.0,2026,7144920
014b1bb179c375dabd8ab7d8321b50e819e4f543665317c9de6e33c1c32b0cd4,PROFESOR ASISTENTE,,,1,0
014efda5190146a851fb9039e5e87fd7b906e3362457ab2c28470f62bfdd05c5,PROFESIONAL III,AUXILIAR ADMINISTRATIVO,33.0,12,6141359
01503e69ad7fa9fe56d2c51d8131d977c73621d098e240c6f194f35e2efab20b,TECNICO I,SECRETARIO DECANATO,43.0,26,5072796
01569920603b32b20cdbc85d76a8ed3b6534e078fa5acd7fab64c4e434d09be1,AUXILIAR ADMINISTRATIVO III,PERCEPTOR/A,37.0,14,3908309
0158060add4ea31e5fcc2aa5c311c98f0856d213cb2b97e20ac7be2ff8be3033,DOCENTE TECNICO II,JEFE DE LA SECCIÓN ADMINISTRACIÓN DE SISTEMAS EXTERNOS CNC DEPARTAMENTO DE SISTEMAS DE INFORMACIÓN - DIRECCIÓN TECNOLOGIA DE LA INFORMACIÓN,46.0,12,3273216
0164462ecd2ed6ed2833ba465712550e381aeabeee9368259ef3c883f89f8f06,TECNICO III,TECNICO III,43.0,18,5094380
01666450f0e80b54c54262ea31112d79fd2ace05c4ee913d67620f71bc8e1b20,CONSEJERO GRADUADO,CONSEJERO GRADUADO,46.0,1,1021100
0166fbf0580da235d66b377b597383b4b2616d6dec871ab19e2860e8de92231a,PROFESIONAL I,ASISTENTE DE COORDINACION ACADEMICA DE ESCUELA CSY C.P,49.0,25,6734400
016787a3064674d306fbb42b3dd06ca6a7f0c1714043e0cfa1120866e5ef02a8,ENFERMERIA PROFESIONAL I,ENFERMERO/A ASISTENCIAL,36.0,7,5295500
016a54a97b096bdbfd28bea61cd6f1c6de5fc9a590777ca78322bb1163422255,AUXILIAR ADMINISTRARIVO II,BEDEL,32.0,3,4107241
016af7a71345bf14699dae7a51708ce751eb63d39c2c2635a5bb2e0c733fef0b,TECNICO DOCENTE,TECNICO DOCENTE,62.0,1,3200000
016d0dce330f392bda74099d3e56abd4e4be5e6a7bafb7e35fe9913fa8889471,TECNICO I,ASISTENTE DE ARCHIVO ACADEMICO,54.0,14,5397960
0172d02ec7a50d18b7d6337a3dd3237b27ce41047ebb19b3ab17ff61043ddb3c,DOCENTE MÉDICO II,ENCARGADO DE CATEDRA,39.0,11,10841000
0178931eb7d5326349db691c19edeb785d503674d7f0ce229ffb8c01a950e094,JEFE DE DIVISION,JEFE DE DIVISION,67.0,43,8490000
017b4d4af8d900fa74b70dcd62aaed7d14a469a13103ca0babc7eef7a26cd386,PROFESOR ASISTENTE,PROFESOR ASISTENTE,62.0,37,6460000
017d69236331a0117b937bdf903808257a1498bc7b20581336e7c854f2c04e27,ASISTENTE DE ENFERMERIA,ASISTENTE DE ENFERMERIA,39.0,14,4385000
017f0c507e80082f6af1f39a615467e1ceb20f3e99fce4f9f49a02a1116914e8,PERSONAL DE SERVICIO ESPECIFIC,CAMILLERO,67.0,29,5160000
018072e54f153cf8283ec7de66a207a25de885117539521a6296538e199d03b7,DOCENTE TECNICO I,,46.0,3,9621730
0183398bee011dfb6f65f4a4cc9b02cedab38233f505df8f59119086bdd13a75,DOCENTE MÉDICO III,MEDICO RESIDENTE 1,37.0,1,5807958
0183a2ddbb41cb0e45dd5815b9db0f6e35600dc40600521574e40bd309a6621b,AUXILIAR ADMINISTRATIVO I,BEDEL - SALA DE PROFESORES,53.0,12,4631225
0188b17bef3cfd8a25740f43d6aacb18defdca0de8799594d4044a229c440c34,PROFESOR ADJUNTO,PROFESOR ADJUNTO,,1,0
01894f9c9ef49eec097916cff6fbc20a0e3fd28cb7f41236655b36bda0000e9a,JEFE DE DEPARTAMENTO,JEFE DE REC. HUM.DE LA FILIAL DE SAN ESTANISLAO,46.0,16,7482139
018b1cc598421a2508708c635a995548728d64f58e6556dd1033bdd478828b56,AUXILIAR ADMINISTRATIVO I,AUXILIAR ADMINISTRATIVO I,42.0,2026,4619320
018c5cb63c0d7c861cc60c400110c6f8e7f991ce6f6e0ecd54219d946d3c22c5,PERSONAL DE SERVICIO,PERSONAL DE LIMPIEZA,43.0,4,2543917
018da57bc3ad38150cc39666a8c612cb4cf7457bb95849631d1456b88c9d470f,DOCENTE ENCARGADO DE CATEDRA,ENCARGADO DE CATEDRA,56.0,15,1294822
018dda98642c84b17949640f2902c359d6dd2214d403deeed6ca349f139c001b,PERSONAL DE SERVICIO,PERSONAL DE SERVICIO,22.0,2,2750000
01960e76d89f8a4a8776926c5835b500cd9168aab7c895adfe40127f2d68ab55,DOCENTE MÉDICO II,INSTRUCTOR,48.0,20,7991000
019aefe894058ce5dd5f26334450bc84f1d3e5bcf0b277c78b08f45d77e1eabb,MIEMBRO DEL CONSEJO DIRECTIVO,MIEMBRO DEL CONSEJO DIRECTIVO,,2026,0
01a1071e295d95b7164a8b67e5cd9edefa3579baf8dd1649cab93068895d8679,ASISTENTE DE ENFERMERIA,ASISTENTE DE ENFERMERIA,39.0,18,4385000
01a4da7c04e7b50e86add761fcdef003a8dbc4e1a51daef3a403ec49b0f46b0f,ASISTENTE DE ENFERMERIA,ASISTENTE DE ENFERMERIA,43.0,21,4966000
01aa91c3e35eed5e59ff398aecf5718e30a77453f33c7ec8ea155f3e56457c91,TECNICO DOCENTE,TECNICO DOCENTE,60.0,1,3200000
01ab677542d3f87e5a22d92ea51517f1b1200036a5455773a4c245a1273bdc39,AUXILIAR ADMINISTRATIVO III,AUXILIAR ADMINISTRATIVO,41.0,5,3773809
01ad7e2b14b97870268b6bb6f54cd950b8007cbe39270e619016d47bb7a501a6,TECNICO II,ENCARGADA DE FICHA ARCHIVO Y CERTIFICADO DE ESTUDIOS.CAACUPE,41.0,2,3559231
01ada68363f938a58307cab0b06fe582f7c00098f1d1009459bc42ddb63c2fa6,PROFESIONAL DE SALUD,ENFERMERO/A ASISTENCIAL,34.0,2,3600000
01b1a4a05ded46b7814c0a4750b3a61685d4861c3045b7d4b9feb8581cb50a27,HORAS CATEDRAS,HORAS CATEDRAS - IPT - PROYECTO Y DIBUJO TÉCNICO - MAÑANA,60.0,2,1586720
01b26ccd674f4362f6fc03007e934214dfa88a7c668224113077f86227f63150,ENFERMERIA PROFESIONAL V,ENFERMERO/A SUPERVISOR/A,52.0,26,12790000
01b4e549f31138ffb8bfbecf4536b365899749914860b0ca3583e1845153bd11,PROFESIONAL I,PROFESIONAL I,61.0,2026,6936000
01bafce48d39f93595c36273a59d18e35737d11ddf6effdd13980ea661a95a36,AUXILIAR ENFERMERIA IV,ENFERMERO AUXILIAR,50.0,30,6306500
01bd6b7c7c7776c0933173ebaebd475fbd17b667154e92faa8420404c50f0311,PERSONAL DE SERVICIO ESPECIFIC,COSTURERO/A,55.0,27,5160000
01c3b78b6e8a8233df1204e8c2f42b2313a11685c29c97f6fbcfa4d960b5053e,PROFESOR,ASISTENTE,48.0,2026,985944
01cedf6f12a703d0d87568ed1ce52b60cfe2e8e5b962e677417d1597abaeb842,PROFESOR,PROFESOR,64.0,30,1815683
01d2a156955a4bd105e9e6e1ec0aca69492158ae64b5ded591a235ac8f70e5df,DOCENTE TECNICO I,DOCENTE TECNICO I,31.0,3,5666452
01ea51d50491672d8c2025c0cbe494ba45e1def06205906c18200f2efe7f7c54,ENFERMERO/A ASIST - NIVEL II,ENFERMERO/A ASISTENCIAL,36.0,9,6435500
01efc790c1eff6a3ebefb10a75dd5367d9e891c43ca2ddc0cb45230d2dafe41a,TECNICO III,TECNICO III,31.0,2026,4935069
01fad3d2d36b1993b005dfce668f45e19252a15223866e65d33f896af1c7b16b,PROFESOR ASISTENTE,,68.0,2026,1999299
01fbc48336aeb68a936569a02b3761f5a4743a0189bce87f53044b8abfe5cc47,AUXILIAR ADMINISTRATIVO I,PERSONAL DE SERVICIOS,49.0,28,4519320
01fee802e2a6a58f7412ece70052e9180ef143b2dab63758569c2166c5c65b14,AUXILIAR ADMINISTRATIVO I,AUXILIAR ADMINISTRATIVO,60.0,14,4409040
02094c4f51bccf2e5a1633dbd129aca8e0bb8e3511e6f4af3492b5d820449e98,DOCENTE,"MAESTRIA EN ENERGIA PARA EL DESARROLLO SOSTENIBLE, ENERGIAS RENOVABLES Y EFICIENCIA ENERGETICA, EDICIÓN 2024-2026",48.0,1,14850000
020bbe9f85be9fe0dbca2a9eb3f6a8449ef4935d1b3a12fe6731ac180d21db5f,TECNICO I,,,1,0
020c118a8067d9fc2ed0fc411102f98f9274f6d5b1c353e8f4f9d947477f5021,PROFESIONAL III,PROFESIONAL III,34.0,6,5097597
020ded6987534b7ee35d5c86422356102f60cc5dbae8eb5411d6d8a263ef4493,PROFESIONAL I,AUXILIAR ADMINISTRATIVO,71.0,36,7160000
02123921306e96fcdb65a0fc393dbb6eaa4ae2807f1a161068ffad552bd29479,PROFESIONAL II,ASISTENTE DE LA DIRECCION DE CARRERA,37.0,14,7012157
02185cb9bd06237a165ad0c90f1ed3a6629ec40f4d4920531e275b94606a2705,PROFESOR ADJUNTO,PROFESOR ADJUNTO - NUTRICION NORMAL (N) - 2DO. SEMESTRE 2025,49.0,9,5603254
021d09cef68f8374cabe00c1639f1cf90caa7cdb0c142b51ae00febc071d69c7,PROFESOR,PROFESOR,40.0,1,2119414
021f7b6e5ebc0a02ffda9bc2ed6626f588d531dedfbd9e5dec2022aa96f6b918,COORDINADOR DE GESTION ACADEMICA,COORDINADOR DE GESTION ACADEMICA,51.0,1,5820565
0221d3dcc5996a724d8efb9f5ac95e3a11d8a544e86c3eb9f94297fe9cc2d678,ASISTENTE DE ENFERMERIA,ASISTENTE DE ENFERMERIA,28.0,4,4385000
02249b7f2e928a6b23e190ceaa1f00cc299f9b05d573d1310f90d11b84cb2e8e,PROFESOR,PROFESOR,57.0,1,1255979
022a05767496e2ed63768b3c3d5548cba534b8e285bee115edbc89246139069d,ENFERMERO/A ASIST - NIVEL II,ENFERMERO/A ASISTENCIAL,33.0,8,6270000
022a13b0f5121037fff33504757749d5dece11dabe6df1a7448ca36de8018c08,DOCENTE TECNICO II,DOCENTE TECNICO,44.0,18,4390550
022dbf406a8bd42213a0b40b274f9c587e17ea6bec1cf06e99c7f77114cb7134,ENFERMERIA PROFESIONAL V,ENFERMERO/A JEFE/A,57.0,31,13040000
022e4113304d33f352666d457355d8d52e37136b8c961ff6a6a21f3762049a4a,,,,2026,0
0233421c37e5cc9557f5c2437fd395adf1c7248f692913fb78d3d938898b2aae,PROFESOR,ENCARGADO DE CATEDRA,65.0,2026,2957832
02413bf5462b28029d60e51134c7de68b8d687ce6b3a67afb44c0a5905ceb5e9,DOCENTE TECNICO I,DOCENTE TECNICO I,42.0,15,7723444
0241e8bf49049b558869fe48f05bb664d7735cfba42251bb1dfd670992e91a7d,PROFESOR TITULAR,PROFESOR TITULAR,59.0,19,13181100
0244b22bbe30afce8196fc3d17772ece1334c9372bfc778dea130fc5846fae8e,PERSONAL DE SERVICIOS II,PERSONAL DE SERVICIOS II,27.0,3,3796100
024623838dd8871149a904a763710684f66a95fdf9d404cd9f16c28962cebcaa,AUXILIAR ADMINISTRATIVO I,AUXILIAR ADMINISTRATIVO I,38.0,2026,4283320
02467c265201e008fe144caa7a62ac5d8603fbd3f1202be16c7b7d4ccad47511,AUXILIAR DE SERVICIOS GENERALES,AUXILIAR DE SERVICIOS GENERALES,27.0,3,2939759
02503e7bacfc605e0a5c56efd5c14dbb5ffa116e11a7bbdfe2f81d6bb722cee0,PROFESOR,PROFESOR,38.0,2026,1971886
02565c88c1ac961fc0ca0bcc63d6d81fa497b035003c8aecc06225df5756c92b,AUXILIAR DE ENSEÑANZA III,,34.0,2026,863435
025d4503c033da309d088d02b7da6ce0000c757f49cb74da33db5ca86b727381,AUXILIAR ADMINISTRATIVO III,AUXILIAR DE ARCHIVO,60.0,14,3608309
02635a1e9112b3348fe7f998bb89c67bd5ea0052b54f7e89812d926a017b02c1,DOCENTE TECNICO III,,46.0,2026,3503563
0264b4d0ad3950deb8910c70a1837666e9d9ccdf47365b2e6cc888fd74c47a14,AUX. DE LA ENSEÑANZA IV,AUXILIAR DE ENSEÑANZA - INDUSTRIAL - INGENIERIA ECONOMICA - 8º,25.0,1,442201
0268c00cb6c5cc2caf312d090ef677d06d77456c0c0ce8e2c85c92fd10812454,TECNICO/A EN SALUD,TECNICO/A EN FARMACIA,60.0,12,5781000
0272aefd170b9baef3cd5905e064dda0b354c2807ecae428ffbc8a5c68ad04bd,ENCARGADA DE LA UNIDAD DE GESTION DE LA CALIDAD EDUCA TIVA,ENCARGADA DE LA UNIDAD DE GESTION DE LA CALIDAD EDUCA TIVA,48.0,2026,4485944
027e66c8057b24a5c65a87cefac7c9a2c5de423af4243e5c093b70bf257b9b5f,PROFESIONAL I,COMISIONADO A LA CAMARA DE DIPUTADOS,48.0,15,6150000
027f22855f1647f701e7b0e67d85142e32c5e1e6b83a81405f3f0bdd61f32c18,TECNICO II,AUXILIAR DEL CONSULTORIO JURIDICO,40.0,14,4701923
